experiment_id,execution_mode,explanation_source,prompt_id,timestamp_utc,numerical_faithfulness,directional_faithfulness,attribution_faithfulness,unsupported_claim_rate,total_claims_count,numeric_claim_count,directional_claim_count,attribution_claim_count,unsupported_claim_count,undeterminable_claim_count,numerical_mae
adult__logistic_regression__threshold_optimizer__seed456__779f437a,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:02:40.989403+00:00,0.4483,0.0,1.0,0.0645,31,29,2,0,2,16,0.01523
adult__logistic_regression__threshold_optimizer__seed456__779f437a,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:02:41.066119+00:00,0.8286,1.0,1.0,0.0,51,35,16,0,0,6,0.0
adult__random_forest__correlation_remover__seed123__5b20607c,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:53:34.775837+00:00,0.3913,1.0,1.0,0.08,25,23,2,0,2,12,0.00799
adult__random_forest__correlation_remover__seed123__5b20607c,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:53:34.878162+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
adult__random_forest__correlation_remover__seed42__131ed43d,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:53:21.626286+00:00,0.6154,0.8333,1.0,0.0444,45,39,6,0,2,14,0.02552
adult__random_forest__correlation_remover__seed42__131ed43d,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:53:21.754046+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
adult__random_forest__correlation_remover__seed456__8e666c74,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:02:55.255321+00:00,0.4286,1.0,1.0,0.129,31,28,3,0,4,12,0.04836
adult__random_forest__correlation_remover__seed456__8e666c74,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:02:55.281981+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
adult__random_forest__threshold_optimizer__seed123__aaa4e39f,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:03:15.491649+00:00,0.6,0.5,1.0,0.0741,27,25,2,0,2,9,0.00676
adult__random_forest__threshold_optimizer__seed123__aaa4e39f,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:03:15.524518+00:00,0.8286,1.0,1.0,0.0,51,35,16,0,0,6,0.0
adult__random_forest__threshold_optimizer__seed42__6ebda6e2,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:03:05.571333+00:00,0.5,0.5,1.0,0.1071,28,26,2,0,3,11,0.01218
adult__random_forest__threshold_optimizer__seed42__6ebda6e2,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:03:05.593683+00:00,0.8286,1.0,1.0,0.0,51,35,16,0,0,6,0.0
adult__random_forest__threshold_optimizer__seed456__05303090,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:03:26.853359+00:00,0.48,0.4,1.0,0.1333,30,25,5,0,4,12,0.01684
adult__random_forest__threshold_optimizer__seed456__05303090,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:03:26.887779+00:00,0.8286,1.0,1.0,0.0,51,35,16,0,0,6,0.0
compas__logistic_regression__correlation_remover__seed123__8fbcec74,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:54:07.746019+00:00,0.4545,0.0,1.0,0.0833,24,22,2,0,2,12,0.01317
compas__logistic_regression__correlation_remover__seed123__8fbcec74,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:54:07.797256+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
compas__logistic_regression__correlation_remover__seed42__691cbe55,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:53:57.054145+00:00,0.5,1.0,1.0,0.0,6,4,2,0,0,2,0.0
compas__logistic_regression__correlation_remover__seed42__691cbe55,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:53:57.144072+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
compas__logistic_regression__correlation_remover__seed456__9e50edc2,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:03:35.510631+00:00,0.36,0.0,1.0,0.0741,27,25,2,0,2,16,0.005
compas__logistic_regression__correlation_remover__seed456__9e50edc2,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:03:35.537211+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
compas__logistic_regression__correlation_remover__seed456__e61a33c9,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:54:17.843390+00:00,1.0,1.0,1.0,0.0,0,0,0,0,0,0,
compas__logistic_regression__correlation_remover__seed456__e61a33c9,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:54:17.911167+00:00,0.8421,1.0,1.0,0.0,56,38,18,0,0,6,0.0
compas__logistic_regression__threshold_optimizer__seed123__76fa7964,PILOT_VALIDATION_RUN,gemini__gemini-flash-lite-latest,combined_audit_v1,2026-09-17T10:33:43.953445+00:00,0.875,0.6842,1.0,0.1481,27,8,19,0,4,3,0.0
compas__logistic_regression__threshold_optimizer__seed123__76fa7964,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:33:43.977264+00:00,0.8286,1.0,1.0,0.0,50,35,15,0,0,6,0.0
compas__logistic_regression__threshold_optimizer__seed42__49cd5114,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T10:03:44.650807+00:00,0.0,1.0,1.0,0.0,4,4,0,0,0,4,
compas__logistic_regression__threshold_optimizer__seed42__49cd5114,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:03:44.720778+00:00,0.8286,1.0,1.0,0.0,49,35,14,0,0,6,0.0
compas__logistic_regression__threshold_optimizer__seed456__9b4afa7a,PILOT_VALIDATION_RUN,gemini__gemini-flash-lite-latest,combined_audit_v1,2026-09-17T10:33:49.226625+00:00,0.6346,0.875,1.0,0.0147,68,52,16,0,1,20,0.00039
compas__logistic_regression__threshold_optimizer__seed456__9b4afa7a,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:33:49.263020+00:00,0.8286,1.0,1.0,0.0,49,35,14,0,0,6,0.0
compas__random_forest__correlation_remover__seed123__f6062b4c,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:54:47.377139+00:00,0.6429,1.0,1.0,0.0,14,14,0,0,0,5,0.0
compas__random_forest__correlation_remover__seed123__f6062b4c,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:54:47.478182+00:00,0.8421,1.0,1.0,0.0,47,38,9,0,0,6,0.0
compas__random_forest__correlation_remover__seed42__42b8921b,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:54:34.232155+00:00,0.0,0.0,1.0,0.0,2,1,1,0,0,2,
compas__random_forest__correlation_remover__seed42__42b8921b,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:54:34.298390+00:00,0.8421,1.0,1.0,0.0,47,38,9,0,0,6,0.0
compas__random_forest__correlation_remover__seed456__abd93086,PILOT_VALIDATION_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-17T09:54:59.241134+00:00,0.75,0.0,1.0,0.1111,18,16,2,0,2,4,0.07692
compas__random_forest__correlation_remover__seed456__abd93086,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T09:54:59.329683+00:00,0.8421,1.0,1.0,0.0,47,38,9,0,0,6,0.0
compas__random_forest__threshold_optimizer__seed123__35ea1003,PILOT_VALIDATION_RUN,gemini__gemini-flash-lite-latest,combined_audit_v1,2026-09-17T10:34:01.725815+00:00,0.7368,0.8095,1.0,0.0256,78,57,21,0,2,17,0.00034
compas__random_forest__threshold_optimizer__seed123__35ea1003,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:34:01.763550+00:00,0.8286,1.0,1.0,0.0,50,35,15,0,0,6,0.0
compas__random_forest__threshold_optimizer__seed42__6febbe1b,PILOT_VALIDATION_RUN,gemini__gemini-flash-lite-latest,combined_audit_v1,2026-09-17T10:33:55.830225+00:00,0.8,0.7895,1.0,0.0345,29,10,19,0,1,5,0.0
compas__random_forest__threshold_optimizer__seed42__6febbe1b,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:33:55.857996+00:00,0.8286,1.0,1.0,0.0,49,35,14,0,0,6,0.0
compas__random_forest__threshold_optimizer__seed456__936e3c3a,PILOT_VALIDATION_RUN,gemini__gemini-flash-lite-latest,combined_audit_v1,2026-09-17T10:34:07.829657+00:00,0.6984,0.8,1.0,0.0256,78,63,15,0,2,20,0.00161
compas__random_forest__threshold_optimizer__seed456__936e3c3a,PILOT_VALIDATION_RUN,template_baseline,deterministic_template,2026-09-17T10:34:07.863645+00:00,0.8286,1.0,1.0,0.0,49,35,14,0,0,6,0.0
