experiment_id,execution_mode,explanation_source,prompt_id,timestamp_utc,numerical_faithfulness,directional_faithfulness,attribution_faithfulness,unsupported_claim_rate,total_claims_count,numeric_claim_count,directional_claim_count,attribution_claim_count,unsupported_claim_count,undeterminable_claim_count,numerical_mae
adult__logistic_regression__threshold_optimizer__seed456__cf630b0a,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:21:34.107747+00:00,1.0,,,0.0,14,14,0,0,0,3,0.0
adult__logistic_regression__threshold_optimizer__seed456__cf630b0a,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:21:34.235185+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
adult__random_forest__correlation_remover__seed123__817dbb0b,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:22:42.992058+00:00,0.9143,1.0,,0.0476,63,49,14,0,3,15,0.04522
adult__random_forest__correlation_remover__seed123__817dbb0b,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:22:43.155345+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
adult__random_forest__correlation_remover__seed42__96b67712,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:22:05.911269+00:00,0.9412,,,0.0312,32,32,0,0,1,15,0.04126
adult__random_forest__correlation_remover__seed42__96b67712,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:22:06.055085+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
adult__random_forest__correlation_remover__seed456__03e61eb0,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:23:13.725649+00:00,0.9062,1.0,,0.0667,45,34,11,0,3,3,0.03
adult__random_forest__correlation_remover__seed456__03e61eb0,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:23:13.863738+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
adult__random_forest__threshold_optimizer__seed123__f2260c85,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:24:14.951548+00:00,0.875,,,0.087,23,23,0,0,2,7,0.01426
adult__random_forest__threshold_optimizer__seed123__f2260c85,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:24:15.046347+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
adult__random_forest__threshold_optimizer__seed42__c3711d22,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:23:44.840166+00:00,1.0,1.0,,0.0,46,38,8,0,0,6,0.0
adult__random_forest__threshold_optimizer__seed42__c3711d22,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:23:44.986464+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
adult__random_forest__threshold_optimizer__seed456__96b73ae1,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:24:45.202284+00:00,1.0,1.0,,0.0,29,25,4,0,0,10,0.0002
adult__random_forest__threshold_optimizer__seed456__96b73ae1,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:24:45.309039+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
compas__logistic_regression__correlation_remover__seed123__551690cc,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:25:15.115725+00:00,0.931,1.0,,0.05,40,34,6,0,2,5,0.15547
compas__logistic_regression__correlation_remover__seed123__551690cc,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:25:15.243066+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
compas__logistic_regression__correlation_remover__seed42__6a1a53f7,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:24:59.371490+00:00,0.9524,1.0,,0.0345,29,26,3,0,1,5,0.0024
compas__logistic_regression__correlation_remover__seed42__6a1a53f7,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:24:59.480157+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
compas__logistic_regression__correlation_remover__seed456__58e2fdda,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:25:29.511381+00:00,0.7059,0.0,,0.1053,57,55,2,0,6,39,0.04384
compas__logistic_regression__correlation_remover__seed456__58e2fdda,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:25:29.648708+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
compas__logistic_regression__threshold_optimizer__seed123__bc5d7475,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:25:58.947093+00:00,0.8387,1.0,,0.122,41,31,10,0,5,1,0.03598
compas__logistic_regression__threshold_optimizer__seed123__bc5d7475,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:25:59.097103+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
compas__logistic_regression__threshold_optimizer__seed42__f08cbf8f,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-18T07:25:44.506207+00:00,0.7826,1.0,,0.1471,34,32,2,0,5,9,0.00817
compas__logistic_regression__threshold_optimizer__seed42__f08cbf8f,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-18T07:25:44.615503+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
compas__logistic_regression__threshold_optimizer__seed456__d2ac04f4,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:41:14.690854+00:00,1.0,,,0.0,26,26,0,0,0,15,0.0
compas__logistic_regression__threshold_optimizer__seed456__d2ac04f4,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:41:14.713408+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
compas__random_forest__correlation_remover__seed123__ec4d3659,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:36:16.264698+00:00,1.0,1.0,,0.0,41,32,9,0,0,9,0.0
compas__random_forest__correlation_remover__seed123__ec4d3659,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:36:16.293546+00:00,1.0,1.0,,0.0,59,38,21,0,0,0,0.0
compas__random_forest__correlation_remover__seed42__bfbd0342,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:36:00.849110+00:00,1.0,,,0.0,12,12,0,0,0,6,0.0
compas__random_forest__correlation_remover__seed42__bfbd0342,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:36:00.880477+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
compas__random_forest__correlation_remover__seed456__c9644d7e,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:36:31.318366+00:00,1.0,,,0.0,24,24,0,0,0,13,0.0
compas__random_forest__correlation_remover__seed456__c9644d7e,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:36:31.356003+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
compas__random_forest__threshold_optimizer__seed123__1dfb0b80,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:37:00.289218+00:00,0.6818,,,0.2414,29,29,0,0,7,7,0.01915
compas__random_forest__threshold_optimizer__seed123__1dfb0b80,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:37:00.313654+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
compas__random_forest__threshold_optimizer__seed42__ccfc4f9c,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:36:45.225570+00:00,0.7419,0.8,,0.2368,38,32,6,0,9,2,0.02506
compas__random_forest__threshold_optimizer__seed42__ccfc4f9c,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:36:45.251632+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
compas__random_forest__threshold_optimizer__seed456__7b502b89,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-19T08:37:14.398652+00:00,0.88,1.0,,0.0714,42,37,5,0,3,14,0.00677
compas__random_forest__threshold_optimizer__seed456__7b502b89,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-19T08:37:14.431271+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
german__logistic_regression__correlation_remover__seed123__3f4c1ddd,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:39:24.996131+00:00,0.7059,,,0.2778,18,18,0,0,5,1,0.02965
german__logistic_regression__correlation_remover__seed123__3f4c1ddd,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:39:25.030020+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
german__logistic_regression__correlation_remover__seed42__b775fadd,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:39:11.720877+00:00,0.7391,1.0,,0.1224,49,44,5,0,6,21,0.02767
german__logistic_regression__correlation_remover__seed42__b775fadd,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:39:11.762609+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
german__logistic_regression__correlation_remover__seed456__e69a9374,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:39:36.581794+00:00,0.8125,1.0,,0.1111,54,50,4,0,6,18,0.02153
german__logistic_regression__correlation_remover__seed456__e69a9374,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:39:36.626540+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
german__logistic_regression__threshold_optimizer__seed123__fa833062,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:40:00.315354+00:00,0.8393,0.9333,,0.1408,71,56,15,0,10,0,0.00774
german__logistic_regression__threshold_optimizer__seed123__fa833062,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:40:00.367770+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
german__logistic_regression__threshold_optimizer__seed42__fab04982,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:39:48.509178+00:00,0.6364,,,0.3333,12,12,0,0,4,1,0.0115
german__logistic_regression__threshold_optimizer__seed42__fab04982,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:39:48.553474+00:00,1.0,1.0,,0.0,54,35,19,0,0,0,0.0
german__logistic_regression__threshold_optimizer__seed456__37498e86,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:40:12.644779+00:00,0.8409,1.0,,0.1186,59,44,15,0,7,0,0.01
german__logistic_regression__threshold_optimizer__seed456__37498e86,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:40:12.693476+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
german__random_forest__correlation_remover__seed123__9b5a5fb2,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:40:38.647784+00:00,0.8889,1.0,,0.0759,79,54,25,0,6,1,0.02623
german__random_forest__correlation_remover__seed123__9b5a5fb2,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:40:38.712730+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
german__random_forest__correlation_remover__seed42__ad818d3d,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:40:25.697631+00:00,1.0,1.0,,0.0,35,29,6,0,0,18,0.00044
german__random_forest__correlation_remover__seed42__ad818d3d,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:40:25.748692+00:00,1.0,1.0,,0.0,60,38,22,0,0,0,0.0
german__random_forest__correlation_remover__seed456__a8033e48,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:40:53.157461+00:00,0.9143,1.0,,0.0638,47,41,6,0,3,6,0.01432
german__random_forest__correlation_remover__seed456__a8033e48,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:40:53.228284+00:00,1.0,1.0,,0.0,59,38,21,0,0,0,0.0
german__random_forest__threshold_optimizer__seed123__54fb0237,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:41:21.079033+00:00,0.9444,1.0,,0.0435,23,20,3,0,1,2,0.00247
german__random_forest__threshold_optimizer__seed123__54fb0237,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:41:21.130899+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
german__random_forest__threshold_optimizer__seed42__d9cb6e82,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:41:07.469567+00:00,0.8462,,,0.087,23,23,0,0,2,10,0.03852
german__random_forest__threshold_optimizer__seed42__d9cb6e82,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:41:07.502939+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
german__random_forest__threshold_optimizer__seed456__351a3b1c,FINAL_EMPIRICAL_RUN,gemini__gemini-2.5-flash,combined_audit_v1,2026-09-20T08:41:34.306683+00:00,0.9375,,,0.0526,19,19,0,0,1,3,0.02077
german__random_forest__threshold_optimizer__seed456__351a3b1c,FINAL_EMPIRICAL_RUN,template_baseline,deterministic_template,2026-09-20T08:41:34.351801+00:00,1.0,1.0,,0.0,55,35,20,0,0,0,0.0
